state_code,state_abbrev,county_code,county_descr,fips_code,dma,dma_state,political_region,pop_2017_18plus,votes_2016_all,votes_2016_clinton,votes_2016_trump,votes_2016_other,cdc_urbanicity
1,AL,1,Autauga,1001,Montgomery,AL,Rest of Montgomery,41527,24973,5936,18172,865,medium metro
1,AL,3,Baldwin,1003,Mobile,AL,Rest of Mobile,158361,95215,18458,72883,3874,small metro
1,AL,5,Barbour,1005,Columbus,GA,Southeast,20687,10469,4871,5454,144,noncore
1,AL,7,Bibb,1007,Birmingham,AL,Rest of Birmingham,17852,8819,1874,6738,207,large fringe metro
1,AL,9,Blount,1009,Birmingham,AL,Rest of Birmingham,44102,25530,2150,22808,572,large fringe metro
1,AL,11,Bullock,1011,Montgomery,AL,Rest of Montgomery,8312,4709,3530,1139,40,noncore
1,AL,13,Butler,1013,Montgomery,AL,Southeast,15556,8732,3726,4901,105,noncore
1,AL,15,Calhoun,1015,Birmingham,AL,Rest of Birmingham,90097,47864,13242,32865,1757,small metro
1,AL,17,Chambers,1017,Columbus,GA,Rest of Montgomery,26639,13900,5784,7843,273,micropolitan metro
1,AL,19,Cherokee,1019,Birmingham,AL,Rest of Birmingham,20647,10733,1547,8953,233,noncore
1,AL,21,Chilton,1021,Birmingham,AL,Rest of Montgomery,33255,18369,2911,15081,377,large fringe metro
1,AL,23,Choctaw,1023,Meridian,AL,Rest of Montgomery,10482,7292,3109,4106,77,noncore
1,AL,25,Clarke,1025,Mobile,AL,Rest of Mobile,19111,13031,5749,7140,142,noncore
1,AL,27,Clay,1027,Birmingham,AL,Rest of Birmingham,10550,6624,1237,5245,142,noncore
1,AL,29,Cleburne,1029,Atlanta,AL,Rest of Birmingham,11481,6593,684,5764,145,noncore
1,AL,31,Coffee,1031,Dothan,AL,Southeast,38954,20767,4221,15875,671,micropolitan metro
1,AL,33,Colbert,1033,Huntsville,AL,Rest of Huntsville,42727,24915,7312,16746,857,small metro
1,AL,35,Conecuh,1035,Mobile,AL,Rest of Mobile,9875,6585,3080,3420,85,noncore
1,AL,37,Coosa,1037,Birmingham,AL,Rest of Montgomery,9050,5252,1782,3381,89,micropolitan metro
1,AL,39,Covington,1039,Montgomery,AL,Southeast,29261,15940,2387,13267,286,noncore
1,AL,41,Crenshaw,1041,Montgomery,AL,Southeast,10732,6267,1664,4513,90,noncore
1,AL,43,Cullman,1043,Birmingham,AL,Rest of Birmingham,63346,37873,3798,32989,1086,micropolitan metro
1,AL,45,Dale,1045,Dothan,AL,Southeast,37785,18749,4413,13808,528,micropolitan metro
1,AL,47,Dallas,1047,Montgomery,AL,Rest of Montgomery,30677,18777,12826,5784,167,micropolitan metro
1,AL,49,DeKalb,1049,Huntsville,AL,Rest of Huntsville,53650,26278,3682,21779,817,noncore
1,AL,51,Elmore,1051,Montgomery,AL,Rest of Montgomery,62714,37260,8443,27634,1183,medium metro
1,AL,53,Escambia,1053,Mobile,AL,Rest of Mobile,29239,15297,4698,10282,317,noncore
1,AL,55,Etowah,1055,Birmingham,AL,Rest of Birmingham,80592,44164,10442,32353,1369,small metro
1,AL,57,Fayette,1057,Birmingham,AL,Rest of Birmingham,13059,8249,1362,6712,175,noncore
1,AL,59,Franklin,1059,Huntsville,AL,Rest of Huntsville,23735,12040,2197,9466,377,noncore
1,AL,61,Geneva,1061,Dothan,AL,Southeast,20673,11758,1525,9994,239,small metro
1,AL,63,Greene,1063,Birmingham,AL,Rest of Birmingham,6534,4879,4012,838,29,noncore
1,AL,65,Hale,1065,Birmingham,AL,Rest of Birmingham,11505,8036,4772,3172,92,small metro
1,AL,67,Henry,1067,Dothan,AL,Southeast,13529,8072,2292,5632,148,small metro
1,AL,69,Houston,1069,Dothan,AL,Southeast,79562,42639,10664,30728,1247,small metro
1,AL,71,Jackson,1071,Huntsville,AL,Rest of Huntsville,41033,20939,3663,16643,633,micropolitan metro
1,AL,73,Jefferson,1073,Birmingham,AL,Jefferson County,507281,303361,156384,134498,12479,large central metro
1,AL,75,Lamar,1075,Columbus,MS,Rest of Birmingham,10933,6961,1035,5819,107,noncore
1,AL,77,Lauderdale,1077,Huntsville,AL,Rest of Huntsville,73838,39525,9952,27899,1674,small metro
1,AL,79,Lawrence,1079,Huntsville,AL,Rest of Huntsville,26046,14711,3611,10732,368,small metro
1,AL,81,Lee,1081,Columbus,GA,Rest of Montgomery,122758,59191,21230,34617,3344,small metro
1,AL,83,Limestone,1083,Huntsville,AL,Rest of Huntsville,70441,40294,9468,29067,1759,medium metro
1,AL,85,Lowndes,1085,Montgomery,AL,Rest of Montgomery,7984,6684,4883,1751,50,medium metro
1,AL,87,Macon,1087,Montgomery,AL,Rest of Montgomery,15866,9140,7566,1431,143,noncore
1,AL,89,Madison,1089,Huntsville,AL,Madison County,274312,163389,62822,89520,11047,medium metro
1,AL,91,Marengo,1091,Montgomery,AL,Rest of Montgomery,15209,10994,5615,5233,146,noncore
1,AL,93,Marion,1093,Birmingham,AL,Rest of Birmingham,23707,12983,1432,11273,278,noncore
1,AL,95,Marshall,1095,Huntsville,AL,Rest of Huntsville,71189,35316,4917,29233,1166,micropolitan metro
1,AL,97,Mobile,1097,Mobile,AL,Mobile County,315461,169012,71001,94002,4009,medium metro
1,AL,99,Monroe,1099,Mobile,AL,Rest of Mobile,16674,10271,4332,5795,144,noncore
1,AL,101,Montgomery,1101,Montgomery,AL,Montgomery County,173169,95878,58916,34003,2959,medium metro
1,AL,103,Morgan,1103,Huntsville,AL,Rest of Huntsville,91694,50644,11254,37486,1904,small metro
1,AL,105,Perry,1105,Montgomery,AL,Rest of Montgomery,7529,5278,3824,1407,47,noncore
1,AL,107,Pickens,1107,Birmingham,AL,Rest of Birmingham,15984,9540,3972,5454,114,small metro
1,AL,109,Pike,1109,Montgomery,AL,Southeast,26733,13168,5056,7693,419,micropolitan metro
