countyfips,level,pct
01001,18_to_34,0.27120895977500
01001,35_to_49,0.27397131895000
01001,50_to_64,0.26018036414167
01001,65_or_older,0.19448884424167
01003,18_to_34,0.22035696497813
01003,35_to_49,0.23311608114063
01003,50_to_64,0.26530019758125
01003,65_or_older,0.24942225291250
01005,18_to_34,0.28490825831111
01005,35_to_49,0.22718726675556
01005,50_to_64,0.25012498364444
01005,65_or_older,0.23676436654444
01007,18_to_34,0.28081526515000
01007,35_to_49,0.25698173175000
01007,50_to_64,0.26226199735000
01007,65_or_older,0.19994100577500
01009,18_to_34,0.25515768441111
01009,35_to_49,0.25722575590000
01009,50_to_64,0.26003989974444
01009,65_or_older,0.22712849262222
01011,18_to_34,0.24355803600000
01011,35_to_49,0.27016476860000
01011,50_to_64,0.28846287676667
01011,65_or_older,0.19781431866667
01013,18_to_34,0.26205687954444
01013,35_to_49,0.23512723824444
01013,50_to_64,0.26796638886667
01013,65_or_older,0.23484949335556
01015,18_to_34,0.25674654495484
01015,35_to_49,0.21074373675161
01015,50_to_64,0.23879468453871
01015,65_or_older,0.22905141510000
01017,18_to_34,0.26142597792222
01017,35_to_49,0.23342909835556
01017,50_to_64,0.26542175553333
01017,65_or_older,0.23972316816667
01019,18_to_34,0.20936456491667
01019,35_to_49,0.23212636140000
01019,50_to_64,0.29363262386667
01019,65_or_older,0.26487644983333
01021,18_to_34,0.27446599178889
01021,35_to_49,0.25555621188889
01021,50_to_64,0.26165630254444
01021,65_or_older,0.20832149377778
01023,18_to_34,0.23078558057500
01023,35_to_49,0.22467335565000
01023,50_to_64,0.27864542932500
01023,65_or_older,0.26578563790000
01025,18_to_34,0.26250062845556
01025,35_to_49,0.24114182871111
01025,50_to_64,0.25313180365556
01025,65_or_older,0.24219309791111
01027,18_to_34,0.23041465787500
01027,35_to_49,0.24142521860000
01027,50_to_64,0.28268520672500
01027,65_or_older,0.24547491680000
01029,18_to_34,0.23730707640000
01029,35_to_49,0.25449907552500
01029,50_to_64,0.26470434235000
01029,65_or_older,0.24273582452500
01031,18_to_34,0.26241877938571
01031,35_to_49,0.25179878437857
01031,50_to_64,0.26312875557857
01031,65_or_older,0.22265368063571
01033,18_to_34,0.24424924200714
01033,35_to_49,0.23922285850714
01033,50_to_64,0.26328088746429
01033,65_or_older,0.25318524775714
01035,18_to_34,0.22858140042000
01035,35_to_49,0.22011706726000
01035,50_to_64,0.26384936354000
01035,65_or_older,0.28745216878000
01037,18_to_34,0.21889021890000
01037,35_to_49,0.23565606746667
01037,50_to_64,0.28954170653333
01037,65_or_older,0.25591200710000
01039,18_to_34,0.23844944729286
01039,35_to_49,0.23040101842143
01039,50_to_64,0.26812480078571
01039,65_or_older,0.26187751272143
01041,18_to_34,0.24995999910000
01041,35_to_49,0.24702366608333
01041,50_to_64,0.27044243033333
01041,65_or_older,0.23243862045000
01043,18_to_34,0.25678530260000
01043,35_to_49,0.24751633352778
01043,50_to_64,0.26449254867778
01043,65_or_older,0.23023863255000
01045,18_to_34,0.28703689225714
01045,35_to_49,0.23570076108571
01045,50_to_64,0.25345657948571
01045,65_or_older,0.22341794682857
01047,18_to_34,0.26502667842667
01047,35_to_49,0.23547866016667
01047,50_to_64,0.26894618114667
01047,65_or_older,0.22985829656000
01049,18_to_34,0.25952631586429
01049,35_to_49,0.25997047873571
01049,50_to_64,0.25835555792857
01049,65_or_older,0.22185746438571
01051,18_to_34,0.27816889771333
01051,35_to_49,0.26566870264000
01051,50_to_64,0.26031204798000
01051,65_or_older,0.19575336550000
01053,18_to_34,0.27340107916667
01053,35_to_49,0.24898006263333
01053,50_to_64,0.25092955692222
01053,65_or_older,0.22611316927778
01055,18_to_34,0.26900372987667
01055,35_to_49,0.24994315073333
01055,50_to_64,0.25936951528667
01055,65_or_older,0.22113968490000
01057,18_to_34,0.24328295822000
01057,35_to_49,0.22989715944000
01057,50_to_64,0.27162747984000
01057,65_or_older,0.25519240248000
01059,18_to_34,0.26444994853333
01059,35_to_49,0.25338752661111
01059,50_to_64,0.25156523531111
01059,65_or_older,0.23019852526667
01061,18_to_34,0.23840248483333
01061,35_to_49,0.24930953921667
01061,50_to_64,0.27256182020000
01061,65_or_older,0.23972615573333
01063,18_to_34,0.27503794916667
01063,35_to_49,0.19509380153333
01063,50_to_64,0.28268087426667
01063,65_or_older,0.24718737503333
01065,18_to_34,0.25703163266667
01065,35_to_49,0.22934520821667
01065,50_to_64,0.28176951440000
01065,65_or_older,0.23185364470000
01067,18_to_34,0.23817589930000
01067,35_to_49,0.22973798888333
01067,50_to_64,0.26660748663333
01067,65_or_older,0.26547862518333
01069,18_to_34,0.27580848989091
01069,35_to_49,0.24838864905909
01069,50_to_64,0.25503141346364
01069,65_or_older,0.22055086086818
01071,18_to_34,0.23819868921818
01071,35_to_49,0.24936959996364
01071,50_to_64,0.27524040676364
01071,65_or_older,0.23682973205455
01073,18_to_34,0.30294284076135
01073,35_to_49,0.24280660706258
01073,50_to_64,0.25827170647730
01073,65_or_older,0.19527520507055
01075,18_to_34,0.22869678106667
01075,35_to_49,0.22906972206667
01075,50_to_64,0.27363194526667
01075,65_or_older,0.26831500980000
01077,18_to_34,0.30502882405455
01077,35_to_49,0.22242943983182
01077,50_to_64,0.24970827171364
01077,65_or_older,0.22097682205000
01079,18_to_34,0.24490939900000
01079,35_to_49,0.25261312313333
01079,50_to_64,0.27944761727778
01079,65_or_older,0.22302986060000
01081,18_to_34,0.44110525215556
