"","state_code","state_abbrev","county_code","county_descr","fips_code","dma","dma_state","political_region","pop_2017_18plus","votes_2016_all","votes_2016_clinton","votes_2016_trump","votes_2016_other","cdc_urbanicity","st_fips","county_name","votes_2020_all","votes_2020_biden","votes_2020_trump","votes_2020_jorgensen","votes_2020_hawkins","votes_2020_other","date","UID","iso2","iso3","code3","Admin2","Province_State","Country_Region","Lat","Long_","Combined_Key","total_cases","new_cases","log_cases","prop_log_cases","prop_cases","prop_new_cases","dem_share_16","dem_share_20","dem_diff_16_20","rep_share_16","rep_share_20","rep_diff_16_20","dem_margin_16","dem_margin_20","covid_binary","margin_binary","margin_categorical","covid_categorical","dem_margin_diff"
"46656",6,"CA",3,"Alpine",6003,"Reno","CA","North and Mountain",945,602,334,217,51,"noncore","60","Alpine",736,473,238,14,4,7,2020-11-03,84006003,"US","USA",840,"Alpine","California","US",38.59678594,-119.8223594,"Alpine, California, US",16,8,2.77258872223978,2.93395631983046,16.9312169312169,8.46560846560847,0.554817275747508,0.642663043478261,0.0878457677307526,0.36046511627907,0.323369565217391,-0.0370955510616784,0.194352159468439,0.31929347826087,"lo",TRUE,"more_biden","Bottom 20%",0.124941318792431
"49606",6,"CA",23,"Humboldt",6023,"Eureka","CA","North and Mountain",109132,59878,33200,18373,8305,"micropolitan metro","60","Humboldt",45961,31010,13756,565,329,301,2020-11-03,84006023,"US","USA",840,"Humboldt","California","US",40.69923009,-123.876044,"Humboldt, California, US",586,7,6.37331978957701,0.058400100699859,5.36964410072206,0.0641425063226185,0.554460736831557,0.674702465133483,0.120241728301925,0.306840575837536,0.299297230260438,-0.00754334557709813,0.247620160994021,0.375405234873045,"lo",TRUE,"more_biden","Bottom 20%",0.127785073879023
"50196",6,"CA",27,"Inyo",6027,"Los Angeles","CA","North and Mountain",14487,8179,3155,4248,776,"noncore","60","Inyo",9460,4623,4611,128,45,53,2020-11-03,84006027,"US","USA",840,"Inyo","California","US",36.51112084,-117.4111978,"Inyo, California, US",243,2,5.49306144334055,0.379171770783499,16.7736591426796,0.13805480775868,0.385743978481477,0.488689217758985,0.102945239277508,0.519378897175694,0.487420718816068,-0.0319581783596262,-0.133634918694217,0.00126849894291758,"lo",TRUE,"more_biden","Bottom 20%",0.134903417637134
"51081",6,"CA",33,"Lake",6033,"San Francisco","CA","North and Mountain",50967,24684,11500,10603,2581,"micropolitan metro","60","Lake",11038,6874,3955,94,71,44,2020-11-03,84006033,"US","USA",840,"Lake","California","US",39.10124298,-122.7536244,"Lake, California, US",731,4,6.59441345974978,0.129385945018341,14.3426138481763,0.0784821551199796,0.465888834872792,0.622757745968473,0.15686891109568,0.429549505752714,0.358307664431962,-0.071241841320752,0.0363393291200778,0.26445008153651,"hi",TRUE,"more_biden","Bottom 20%",0.228110752416432
"52851",6,"CA",45,"Mendocino",6045,"San Francisco","CA","North and Mountain",68459,37915,22079,10888,4948,"micropolitan metro","60","Mendocino",25171,18303,6312,248,179,129,2020-11-03,84006045,"US","USA",840,"Mendocino","California","US",39.4381191,-123.3911313,"Mendocino, California, US",1179,3,7.07242190053737,0.103308869550203,17.2219868826597,0.0438218495741977,0.58232889357774,0.72714631917683,0.144817425599091,0.287168666754583,0.250764768980176,-0.0364038977744071,0.295160226823157,0.476381550196655,"hi",TRUE,"more_biden","Bottom 20%",0.181221323373498
"65536",8,"CO",14,"Broomfield",8014,"Denver","CO","North Denver",48787,37690,19731,14367,3592,"large fringe metro","80","Broomfield",46297,28871,16188,759,101,378,2020-11-03,84008014,"US","USA",840,"Broomfield","Colorado","US",39.95998787,-105.0566324,"Broomfield, Colorado, US",1137,17,7.03614849375054,0.144221790512853,23.3053887306045,0.348453481460225,0.52350756168745,0.623604121217358,0.100096559529907,0.381188644202706,0.349655485236624,-0.0315331589660818,0.142318917484744,0.273948635980733,"hi",TRUE,"more_biden","Low 20%",0.131629718495989
"79991",8,"CO",111,"San Juan",8111,"Denver","CO","Other Denver",475,506,265,215,26,"noncore","81","San Juan",563,342,202,7,2,10,2020-11-03,84008111,"US","USA",840,"San Juan","Colorado","US",37.76248981,-107.6763289,"San Juan, Colorado, US",11,0,2.39789527279837,5.04820057431236,23.1578947368421,0,0.523715415019763,0.607460035523979,0.0837446205042158,0.424901185770751,0.358792184724689,-0.0661090010460618,0.0988142292490118,0.248667850799289,"lo",TRUE,"more_biden","Low 20%",0.149853621550278
"80876",8,"CO",117,"Summit",8117,"Denver","CO","Other Denver",24921,16174,9557,5100,1517,"micropolitan metro","81","Summit",18330,12535,5275,348,59,113,2020-11-03,84008117,"US","USA",840,"Summit","Colorado","US",39.63803232,-106.1150762,"Summit, Colorado, US",826,27,6.71659477352098,0.269515459793787,33.1447373700895,1.08342361863489,0.590886608136515,0.683851609383524,0.0929650012470089,0.315320885371584,0.287779596290235,-0.0275412890813495,0.275565722764931,0.39607201309329,"hi",TRUE,"more_biden","Middle 20%",0.120506290328358
"115096",13,"GA",67,"Cobb",13067,"Atlanta","GA","Cobb/Gwinnett",558636,330819,160121,152912,17786,"large fringe metro","13","Cobb",393746,221846,165459,6441,0,0,2020-11-03,84013067,"US","USA",840,"Cobb","Georgia","US",33.94243204,-84.5761255,"Cobb, Georgia, US",24621,2191,10.1113550162978,0.0181000777184031,44.0734216914055,3.9220530005227,0.484013916975748,0.563424136372179,0.0794102193964309,0.462222544654328,0.420217602210562,-0.0420049424437655,0.0217913723214205,0.143206534161617,"hi",TRUE,"more_biden","High 20%",0.121415161840196
"119521",13,"GA",97,"Douglas",13097,"Atlanta","GA","Other Atlanta",102866,57738,31005,24817,1916,"large fringe metro","13","Douglas",68806,42653,25323,830,0,0,2020-11-03,84013097,"US","USA",840,"Douglas","Georgia","US",33.70291126,-84.77026156,"Douglas, Georgia, US",4639,424,8.44225410475174,0.0820704032892476,45.0975054925826,4.12186728365057,0.536994700197444,0.61990233409877,0.0829076339013268,0.42982091516852,0.368034764410081,-0.0617861507584394,0.107173785028924,0.25186756968869,"hi",TRUE,"more_biden","High 20%",0.144693784659766
